year,aqi
1986.0,43.0
1986.0,42.0
1986.0,53.0
1986.0,37.0
1986.0,25.0
1986.0,15.0
1986.0,26.0
1986.0,45.0
1986.0,33.0
1986.0,24.0
1986.0,19.0
1986.0,37.0
1986.0,30.0
1986.0,31.0
1986.0,23.0
1986.0,34.0
1986.0,24.0
1986.0,53.0
1986.0,33.0
1986.0,27.0
1986.0,40.0
1986.0,52.0
1986.0,55.0
1986.0,21.0
1986.0,45.0
1986.0,52.0
1986.0,58.0
1986.0,41.0
1986.0,27.0
1986.0,46.0
1986.0,24.0
1986.0,34.0
1986.0,29.0
1986.0,32.0
1986.0,38.0
1986.0,45.0
1986.0,42.0
1986.0,40.0
1986.0,45.0
1986.0,24.0
1986.0,52.0
1986.0,25.0
1986.0,65.0
1986.0,55.0
1986.0,38.0
1986.0,41.0
1986.0,41.0
1986.0,37.0
1986.0,44.0
1986.0,70.0
1986.0,59.0
1986.0,96.0
1986.0,20.0
1986.0,51.0
1987.0,36.0
1987.0,31.0
1987.0,34.0
1987.0,31.0
1987.0,20.0
1987.0,24.0
1987.0,49.0
1987.0,14.0
1987.0,32.0
1987.0,29.0
1987.0,24.0
1987.0,40.0
1987.0,41.0
1987.0,27.0
1987.0,19.0
1987.0,24.0
1987.0,21.0
1987.0,19.0
1987.0,19.0
1987.0,46.0
1987.0,28.0
1987.0,17.0
1987.0,25.0
1987.0,49.0
1987.0,51.0
1987.0,31.0
1987.0,64.0
1987.0,31.0
1987.0,47.0
1987.0,36.0
1987.0,44.0
1987.0,51.0
1987.0,49.0
1987.0,24.0
1987.0,17.0
1987.0,30.0
1987.0,17.0
1987.0,48.0
1987.0,38.0
1987.0,50.0
1987.0,57.0
1987.0,36.0
1987.0,28.0
1987.0,34.0
1987.0,44.0
1987.0,51.0
1987.0,46.0
1987.0,56.0
1987.0,52.0
1987.0,44.0
1987.0,29.0
1987.0,33.0
1987.0,56.0
1988.0,39.0
1988.0,28.0
1988.0,41.0
1988.0,29.0
1988.0,55.0
1988.0,21.0
1988.0,34.0
1988.0,30.0
1988.0,36.0
1988.0,44.0
1988.0,40.0
1988.0,60.0
1988.0,22.0
1988.0,52.0
1988.0,30.0
1988.0,36.0
1988.0,45.0
1988.0,37.0
1988.0,37.0
1988.0,48.0
1988.0,30.0
1988.0,41.0
1988.0,29.0
1988.0,65.0
1988.0,63.0
1988.0,53.0
1988.0,38.0
1988.0,43.0
1989.0,56.0
1989.0,27.0
1989.0,47.0
1989.0,21.0
1989.0,47.0
1989.0,29.0
1989.0,51.0
1989.0,28.0
1989.0,32.0
1989.0,38.0
1989.0,40.0
1989.0,23.0
1989.0,27.0
1989.0,34.0
1989.0,43.0
1989.0,56.0
1989.0,22.0
1989.0,52.0
1989.0,37.0
1989.0,41.0
1989.0,45.0
1989.0,31.0
1989.0,52.0
1989.0,50.0
1989.0,24.0
1989.0,54.0
1989.0,66.0
1989.0,26.0
1989.0,76.0
1989.0,35.0
1990.0,22.0
1990.0,34.0
1990.0,44.0
1990.0,24.0
1990.0,35.0
1990.0,32.0
1990.0,27.0
1990.0,32.0
1990.0,31.0
1990.0,32.0
1990.0,24.0
1990.0,26.0
1990.0,26.0
1990.0,26.0
1990.0,35.0
1990.0,45.0
1990.0,37.0
1990.0,26.0
1990.0,38.0
1990.0,25.0
1990.0,36.0
1990.0,59.0
1990.0,57.0
1990.0,44.0
1990.0,53.0
1990.0,45.0
1990.0,32.0
1990.0,37.0
1990.0,33.0
1990.0,17.0
1991.0,25.0
1991.0,27.0
1991.0,24.0
1991.0,31.0
1991.0,39.0
1991.0,39.0
1991.0,31.0
1991.0,26.0
1991.0,24.0
1991.0,18.0
1991.0,31.0
1991.0,26.0
1991.0,36.0
1991.0,22.0
1991.0,37.0
1991.0,22.0
1991.0,45.0
1991.0,56.0
1991.0,35.0
1991.0,31.0
1991.0,36.0
1991.0,51.0
1991.0,31.0
1991.0,47.0
1991.0,34.0
1991.0,54.0
1991.0,33.0
1991.0,45.0
1991.0,25.0
1992.0,40.0
1992.0,41.0
1992.0,38.0
1992.0,22.0
1992.0,19.0
1992.0,14.0
1992.0,41.0
1992.0,42.0
1992.0,46.0
1992.0,27.0
1992.0,35.0
1992.0,64.0
1992.0,26.0
1992.0,28.0
1992.0,47.0
1992.0,28.0
1992.0,39.0
1992.0,24.0
1992.0,32.0
1992.0,31.0
1992.0,32.0
1992.0,27.0
1992.0,49.0
1992.0,19.0
1992.0,15.0
1992.0,30.0
1992.0,45.0
1992.0,67.0
1992.0,41.0
1993.0,31.0
1993.0,31.0
1993.0,24.0
1993.0,17.0
1993.0,34.0
1993.0,41.0
1993.0,37.0
1993.0,52.0
1993.0,32.0
1993.0,34.0
1993.0,23.0
1993.0,46.0
1993.0,31.0
1993.0,41.0
1993.0,43.0
1993.0,37.0
1993.0,16.0
1993.0,20.0
1993.0,36.0
1993.0,38.0
1993.0,27.0
1993.0,22.0
1993.0,16.0
1993.0,50.0
1993.0,52.0
1994.0,50.0
1994.0,26.0
1994.0,38.0
1994.0,44.0
1994.0,44.0
1994.0,18.0
1994.0,28.0
1994.0,24.0
1994.0,20.0
1994.0,37.0
1994.0,28.0
1994.0,31.0
1994.0,54.0
1994.0,19.0
1994.0,25.0
1994.0,33.0
1994.0,23.0
1994.0,50.0
1994.0,37.0
1994.0,28.0
1994.0,25.0
1994.0,17.0
1994.0,34.0
1994.0,42.0
1994.0,24.0
1994.0,44.0
1994.0,18.0
1994.0,28.0
1995.0,28.0
1995.0,60.0
1995.0,27.0
1995.0,19.0
1995.0,43.0
1995.0,51.0
1995.0,31.0
1995.0,21.0
1995.0,35.0
1995.0,36.0
1995.0,29.0
1995.0,35.0
1995.0,22.0
1995.0,41.0
1995.0,44.0
1995.0,36.0
1995.0,36.0
1995.0,16.0
1995.0,40.0
1995.0,28.0
1995.0,40.0
1995.0,43.0
1995.0,50.0
1995.0,46.0
1995.0,32.0
1996.0,32.0
1996.0,73.0
1996.0,36.0
1996.0,39.0
1996.0,21.0
1996.0,26.0
1996.0,16.0
1996.0,19.0
1996.0,18.0
1996.0,50.0
1996.0,69.0
1996.0,42.0
1996.0,28.0
1996.0,43.0
1996.0,39.0
1996.0,21.0
1996.0,31.0
1996.0,38.0
1996.0,32.0
1996.0,46.0
1996.0,25.0
1996.0,40.0
1996.0,52.0
1996.0,30.0
1996.0,23.0
1996.0,22.0
1996.0,30.0
1996.0,38.0
1996.0,29.0
1996.0,45.0
1997.0,
1997.0,21.0
1997.0,
1997.0,19.0
1997.0,
1997.0,13.0
1997.0,
1997.0,36.0
1997.0,
1997.0,39.0
1997.0,
1997.0,35.0
1997.0,
1997.0,31.0
1997.0,
1997.0,21.0
1997.0,
1997.0,10.0
1997.0,
1997.0,21.0
1997.0,
1997.0,36.0
1997.0,
1997.0,24.0
1997.0,
1997.0,21.0
1997.0,
1997.0,70.0
1997.0,
1997.0,12.0
1997.0,
1997.0,10.0
1997.0,
1997.0,18.0
1997.0,
1997.0,24.0
1997.0,
1997.0,31.0
1997.0,
1997.0,26.0
1997.0,
1997.0,
1997.0,
1997.0,44.0
1997.0,
1997.0,45.0
1997.0,
1997.0,42.0
1997.0,
1997.0,48.0
1997.0,
1997.0,
1997.0,
1997.0,28.0
1997.0,
1997.0,
1997.0,
1997.0,21.0
1997.0,
1997.0,20.0
1997.0,
1997.0,27.0
1997.0,
1997.0,20.0
1997.0,
1997.0,30.0
1997.0,
1997.0,12.0
1997.0,
1997.0,11.0
1997.0,
1997.0,15.0
1997.0,
1997.0,21.0
1997.0,
1997.0,32.0
1997.0,
1997.0,44.0
1997.0,
1997.0,
1997.0,43.0
1997.0,
1997.0,41.0
1997.0,
1997.0,35.0
1997.0,
1997.0,30.0
1997.0,
1997.0,19.0
1997.0,
1997.0,18.0
1997.0,
1997.0,
1997.0,
1997.0,23.0
1997.0,
1997.0,39.0
1997.0,
1997.0,34.0
1997.0,
1997.0,36.0
1997.0,
1997.0,24.0
1997.0,
1997.0,19.0
1997.0,
1997.0,41.0
1997.0,
1997.0,54.0
1997.0,
1997.0,44.0
1997.0,
1997.0,35.0
1997.0,
1997.0,30.0
1997.0,
1997.0,25.0
1997.0,
1997.0,25.0
1997.0,
1997.0,29.0
1997.0,
1997.0,35.0
1997.0,
1997.0,20.0
1997.0,
1997.0,20.0
1997.0,
1997.0,23.0
1997.0,
1997.0,15.0
1997.0,
1997.0,6.0
1997.0,
1997.0,25.0
1997.0,
1997.0,
1997.0,31.0
1997.0,
1997.0,26.0
1997.0,
1997.0,33.0
1997.0,
1997.0,15.0
1997.0,
1997.0,10.0
1997.0,
1997.0,6.0
1997.0,
1997.0,17.0
1997.0,
1997.0,37.0
1997.0,
1997.0,31.0
1997.0,
1997.0,27.0
1997.0,
1998.0,17.0
1998.0,
1998.0,18.0
1998.0,
1998.0,19.0
1998.0,
1998.0,17.0
1998.0,
1998.0,24.0
1998.0,
1998.0,22.0
1998.0,
1998.0,24.0
1998.0,
1998.0,33.0
1998.0,
1998.0,25.0
1998.0,
1998.0,30.0
1998.0,
1998.0,23.0
1998.0,
1998.0,29.0
1998.0,
1998.0,33.0
1998.0,
1998.0,28.0
1998.0,
1998.0,33.0
1998.0,
1998.0,29.0
1998.0,
1998.0,38.0
1998.0,
1998.0,51.0
1998.0,
1998.0,53.0
1998.0,
1998.0,49.0
1998.0,
1998.0,56.0
1998.0,
1998.0,54.0
1998.0,
1998.0,51.0
1998.0,
1998.0,39.0
1998.0,
1998.0,39.0
1998.0,
1998.0,40.0
1998.0,
1998.0,27.0
1998.0,
1998.0,22.0
1998.0,
1998.0,27.0
1998.0,
1998.0,19.0
1998.0,
1998.0,14.0
1998.0,
1998.0,34.0
1998.0,
1998.0,
1998.0,
1998.0,
1998.0,20.0
1998.0,
1998.0,
1998.0,
1998.0,27.0
1998.0,
1998.0,29.0
1998.0,
1998.0,34.0
1998.0,
1998.0,25.0
1998.0,
1998.0,40.0
1998.0,
1998.0,37.0
1998.0,
1998.0,47.0
1998.0,
1998.0,54.0
1998.0,
1998.0,40.0
1998.0,
1998.0,
1998.0,
1998.0,47.0
1998.0,
1998.0,41.0
1998.0,
1998.0,
1998.0,
1998.0,41.0
1998.0,
1998.0,43.0
1998.0,
1998.0,53.0
1998.0,
1998.0,53.0
1998.0,
1998.0,51.0
1998.0,
1998.0,31.0
1998.0,
1998.0,27.0
1998.0,
1998.0,26.0
1998.0,
1998.0,19.0
1998.0,
1998.0,36.0
1998.0,
1998.0,26.0
1998.0,
1998.0,30.0
1998.0,
1998.0,38.0
1998.0,
1998.0,21.0
1998.0,
1998.0,37.0
1998.0,
1998.0,24.0
1998.0,
1998.0,13.0
1998.0,
1998.0,19.0
1998.0,
1998.0,19.0
1998.0,
1998.0,19.0
1998.0,
1998.0,32.0
1998.0,
1998.0,27.0
1998.0,
1998.0,
1998.0,
1998.0,13.0
1998.0,
1998.0,39.0
1998.0,
1998.0,26.0
1998.0,
1998.0,19.0
1998.0,
1998.0,15.0
1998.0,
1998.0,19.0
1998.0,
1998.0,22.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,29.0
1998.0,
1998.0,25.0
1998.0,
1998.0,19.0
1998.0,
1998.0,18.0
1998.0,
1998.0,29.0
1998.0,
1998.0,21.0
1998.0,
1998.0,29.0
1998.0,
1998.0,
1998.0,
1998.0,32.0
1998.0,
1998.0,29.0
1998.0,
1998.0,16.0
1998.0,
1998.0,11.0
1998.0,
1998.0,18.0
1998.0,
1998.0,19.0
1998.0,
1998.0,
1998.0,
1998.0,27.0
1998.0,
1998.0,19.0
1998.0,
1998.0,20.0
1998.0,
1998.0,31.0
1998.0,
1998.0,38.0
1998.0,
1998.0,44.0
1998.0,
1998.0,58.0
1998.0,
1998.0,50.0
1998.0,
1998.0,33.0
1998.0,
1998.0,31.0
1998.0,
1998.0,43.0
1998.0,
1998.0,33.0
1998.0,
1998.0,32.0
1998.0,
1998.0,15.0
1998.0,
1998.0,20.0
1998.0,
1998.0,25.0
1998.0,
1998.0,21.0
1998.0,
1998.0,14.0
1998.0,
1998.0,31.0
1998.0,
1998.0,19.0
1998.0,
1998.0,29.0
1998.0,
1998.0,40.0
1998.0,
1998.0,23.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,24.0
1998.0,
1998.0,21.0
1998.0,
1998.0,22.0
1998.0,
1998.0,19.0
1998.0,
1998.0,11.0
1998.0,
1998.0,12.0
1998.0,
1998.0,8.0
1998.0,
1998.0,21.0
1998.0,
1998.0,28.0
1998.0,
1998.0,27.0
1998.0,
1998.0,21.0
1998.0,
1998.0,17.0
1998.0,
1998.0,18.0
1998.0,
1998.0,25.0
1998.0,
1998.0,15.0
1998.0,
1998.0,13.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,25.0
1998.0,
1998.0,22.0
1998.0,
1998.0,31.0
1998.0,
1998.0,31.0
1998.0,
1998.0,19.0
1998.0,
1998.0,17.0
1998.0,
1998.0,24.0
1998.0,
1998.0,33.0
1998.0,
1998.0,34.0
1998.0,
1998.0,54.0
1998.0,
1998.0,38.0
1998.0,
1998.0,52.0
1998.0,
1998.0,57.0
1998.0,
1998.0,38.0
1998.0,
1998.0,30.0
1998.0,
1998.0,27.0
1998.0,
1998.0,34.0
1998.0,
1998.0,24.0
1998.0,
1998.0,32.0
1998.0,
1998.0,38.0
1998.0,
1998.0,36.0
1998.0,
1998.0,26.0
1998.0,
1998.0,31.0
1998.0,
1998.0,53.0
1998.0,
1998.0,
1998.0,
1998.0,50.0
1998.0,
1998.0,55.0
1998.0,
1998.0,42.0
1998.0,
1999.0,
1999.0,18.0
1999.0,
1999.0,15.0
1999.0,
1999.0,20.0
1999.0,
1999.0,23.0
1999.0,
1999.0,30.0
1999.0,
1999.0,25.0
1999.0,
1999.0,24.0
1999.0,
1999.0,28.0
1999.0,
1999.0,19.0
1999.0,
1999.0,15.0
1999.0,
1999.0,19.0
1999.0,
1999.0,29.0
1999.0,
1999.0,20.0
1999.0,
1999.0,27.0
1999.0,
1999.0,32.0
1999.0,
1999.0,33.0
1999.0,
1999.0,22.0
1999.0,
1999.0,21.0
1999.0,
1999.0,34.0
1999.0,
1999.0,36.0
1999.0,
1999.0,39.0
1999.0,
1999.0,24.0
1999.0,
1999.0,31.0
1999.0,
1999.0,22.0
1999.0,
1999.0,17.0
1999.0,
1999.0,20.0
1999.0,
1999.0,16.0
1999.0,
1999.0,24.0
1999.0,
1999.0,31.0
1999.0,
1999.0,35.0
1999.0,
1999.0,31.0
1999.0,
1999.0,14.0
1999.0,
1999.0,14.0
1999.0,
1999.0,19.0
1999.0,
1999.0,17.0
1999.0,
1999.0,13.0
1999.0,
1999.0,15.0
1999.0,
1999.0,16.0
1999.0,
1999.0,13.0
1999.0,
1999.0,12.0
1999.0,
1999.0,11.0
1999.0,
1999.0,16.0
1999.0,
1999.0,12.0
1999.0,
1999.0,24.0
1999.0,
1999.0,
1999.0,
1999.0,23.0
1999.0,
1999.0,34.0
1999.0,
1999.0,18.0
1999.0,
1999.0,18.0
1999.0,
1999.0,16.0
1999.0,
1999.0,17.0
1999.0,
1999.0,15.0
1999.0,
1999.0,17.0
1999.0,
1999.0,21.0
1999.0,
1999.0,
1999.0,
1999.0,29.0
1999.0,
1999.0,34.0
1999.0,
1999.0,19.0
1999.0,
1999.0,22.0
1999.0,
1999.0,21.0
1999.0,
1999.0,17.0
1999.0,
1999.0,12.0
1999.0,
1999.0,12.0
1999.0,
1999.0,12.0
1999.0,
1999.0,
1999.0,
1999.0,
1999.0,
1999.0,53.0
1999.0,
1999.0,26.0
1999.0,
1999.0,1.0
1999.0,
1999.0,19.0
1999.0,
1999.0,41.0
1999.0,
1999.0,52.0
1999.0,
1999.0,52.0
1999.0,
1999.0,46.0
1999.0,
1999.0,43.0
1999.0,
1999.0,47.0
1999.0,
1999.0,
1999.0,
1999.0,45.0
1999.0,
1999.0,35.0
1999.0,
1999.0,32.0
1999.0,
1999.0,17.0
1999.0,
1999.0,18.0
1999.0,
1999.0,23.0
1999.0,
1999.0,27.0
1999.0,
1999.0,31.0
